Date and time,Total,Quality,Comments
10/1/1982 0:00,,255,Sites:
11/1/1982 0:00,1.6,10,1160P002 - White Crystal Standalone Pluvio Lat:-18.68247342 Long:145.75018211 Elev:690.38m
12/1/1982 0:00,0.2,10, 
00:00:00 13/01/1982,0,10,Variables:
00:00:00 14/01/1982,2.2,10,10 - Rainfall (millimetres)
00:00:00 15/01/1982,6.8,10, 
00:00:00 16/01/1982,0.2,10,Qualities:
00:00:00 17/01/1982,0,10,10 - Good
00:00:00 18/01/1982,1.8,10,83 - Non standard rainfall
00:00:00 19/01/1982,14.8,10,130 - Not coded value
00:00:00 20/01/1982,9.2,10,160 - Suspect
00:00:00 21/01/1982,6.6,10,250 - Missing data
00:00:00 22/01/1982,3,10,255 - No data exists
00:00:00 23/01/1982,25.6,10, 
00:00:00 24/01/1982,14.8,10, 
00:00:00 25/01/1982,0,10, 
00:00:00 26/01/1982,0.2,10, 
00:00:00 27/01/1982,0.6,10, 
00:00:00 28/01/1982,28,10, 
00:00:00 29/01/1982,0,10, 
00:00:00 30/01/1982,0.2,10, 
00:00:00 31/01/1982,0,10, 
1/2/1982 0:00,0,10, 
2/2/1982 0:00,0,10, 
3/2/1982 0:00,7.8,10, 
4/2/1982 0:00,18.8,10, 
5/2/1982 0:00,10.6,10, 
6/2/1982 0:00,3.4,10, 
7/2/1982 0:00,15.8,10, 
8/2/1982 0:00,0.8,10, 
9/2/1982 0:00,0.8,10, 
10/2/1982 0:00,0.2,10, 
11/2/1982 0:00,0,10, 
12/2/1982 0:00,8.8,10, 
00:00:00 13/02/1982,1.4,10, 
00:00:00 14/02/1982,9.8,10, 
00:00:00 15/02/1982,1,10, 
00:00:00 16/02/1982,0.8,10, 
00:00:00 17/02/1982,0,10, 
00:00:00 18/02/1982,0,10, 
00:00:00 19/02/1982,0,10, 
00:00:00 20/02/1982,0.2,10, 
00:00:00 21/02/1982,53.4,10, 
00:00:00 22/02/1982,28,10, 
00:00:00 23/02/1982,4.4,10, 
00:00:00 24/02/1982,0,10, 
00:00:00 25/02/1982,14.6,10, 
00:00:00 26/02/1982,1,10, 
00:00:00 27/02/1982,0,10, 
00:00:00 28/02/1982,0,10, 
1/3/1982 0:00,0,10, 
2/3/1982 0:00,0.2,10, 
3/3/1982 0:00,0.8,10, 
4/3/1982 0:00,6.2,10, 
5/3/1982 0:00,0,10, 
6/3/1982 0:00,0.2,10, 
7/3/1982 0:00,0.6,10, 
8/3/1982 0:00,0,10, 
9/3/1982 0:00,7.2,10, 
10/3/1982 0:00,45.8,10, 
11/3/1982 0:00,1.8,10, 
12/3/1982 0:00,0,10, 
